"filename", "language", "Python", "Markdown", "Shell Script", "SQL", "Properties", "comment", "blank", "total"
"c:\Users\noahj\GitHub\web-accessibility-testing\src\gui\viewwidget\ui_scrapSelection.py", "Python", 152, 0, 0, 0, 0, 7, 8, 167
"c:\Users\noahj\GitHub\web-accessibility-testing\src\gui\viewwidget\ui_viewer.py", "Python", 93, 0, 0, 0, 0, 6, 7, 106
"c:\Users\noahj\GitHub\web-accessibility-testing\src\gui\viewwidget\view.py", "Python", 137, 0, 0, 0, 0, 20, 39, 196
"c:\Users\noahj\GitHub\web-accessibility-testing\src\imgutils\imgutils.py", "Python", 61, 0, 0, 0, 0, 8, 23, 92
"c:\Users\noahj\GitHub\web-accessibility-testing\src\logger.py", "Python", 2, 0, 0, 0, 0, 2, 2, 6
"c:\Users\noahj\GitHub\web-accessibility-testing\src\operations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\noahj\GitHub\web-accessibility-testing\src\operations\checkdatabase.py", "Python", 2, 0, 0, 0, 0, 1, 1, 4
"c:\Users\noahj\GitHub\web-accessibility-testing\src\operations\facade.py", "Python", 25, 0, 0, 0, 0, 34, 19, 78
"c:\Users\noahj\GitHub\web-accessibility-testing\src\operations\loadDatabase.py", "Python", 13, 0, 0, 0, 0, 3, 14, 30
"c:\Users\noahj\GitHub\web-accessibility-testing\src\operations\opscrapsite.py", "Python", 195, 0, 0, 0, 0, 14, 68, 277
"c:\Users\noahj\GitHub\web-accessibility-testing\src\scrapper\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\noahj\GitHub\web-accessibility-testing\src\scrapper\driver.py", "Python", 119, 0, 0, 0, 0, 5, 43, 167
"c:\Users\noahj\GitHub\web-accessibility-testing\src\scrapper\scrap.py", "Python", 248, 0, 0, 0, 0, 20, 66, 334
"c:\Users\noahj\GitHub\web-accessibility-testing\src\utils\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\noahj\GitHub\web-accessibility-testing\src\utils\hasher.py", "Python", 11, 0, 0, 0, 0, 1, 4, 16
"Total", "-", 3225, 110, 6, 129, 29, 455, 988, 4942
